Gilbert Chesterton;Der beste Weg etwas zu lieben: Realisieren, dass man es verlieren kann.
Albert Schweitzer;Das schönste Denkmal, das ein Mensch bekommen kann, steht in den Herzen seiner Mitmenschen.
Aristoteles;Jeder kann wütend werden, das ist einfach. Aber wütend auf den Richtigen zu sein, im richtigen Maß, zur richtigen Zeit, zum richtigen Zweck und auf die richtige Art, das ist schwer.
Aischylos;Im Krieg ist die Wahrheit das erste Opfer.
Albert Camus;Wollen heißt Widersprüche wecken.
Albert Camus;Übersetzer = Verwegene Kämpfer, die den Turm von Babel angreifen.
Albert Camus;Das Leben verlieren ist keine große Sache; aber zuschauen, wie der Sinn des Lebens aufgelöst wird, das ist unerträglich.
Albert Camus;Das Reisen führt uns zu uns zurück.
Albert Camus;An Kaisern fehlt es uns nicht, nur an Persönlichkeiten.
Albert Camus;Die Phantasie tröstet die Menschen über das hinweg, was sie nicht sein können, und der Humor über das, was sie tatsächlich sind.
Albert Camus;Äußere Ordnung ist oft nur der verzweifelte Versuch, mit einer großen inneren Unordnung fertig zu werden.
Albert Camus;Der Mensch ist nichts an sich. Er ist nur eine grenzenlose Chance. Aber er ist der grenzenlos Verantwortliche für diese Chance.
Albert Camus;Einen Menschen lieben, heißt einzuwilligen, mit ihm alt zu werden.
Albert Camus;Die Liebe ist Ungerechtigkeit, aber die Gerechtigkeit genügt nicht.
Albert Camus;Wenn die Welt klar wäre, gäbe es keine Kunst.
Albert Camus;Die höchste Form der Hoffnung ist die überwundene Verzweiflung.
Albert Camus;Leben heißt handeln.
Albert Camus;Warte nicht auf das Jüngste Gericht. Du stehst jeden Tag vor deinem Richter.
Albert Camus;Das echte Gespräch bedeutet: aus dem Ich heraustreten und an die Tür des Du klopfen.
Albert Camus;Man ist immer auf Kosten eines anderen frei.
Albert Camus;Man sollte auch gute, ja, ausgezeichnete Bücher verbieten, bloß damit sie mehr gelesen und beachtet werden.
Albert Camus;Von einem bestimmten Alter an ist jeder Mensch für sein Gesicht verantwortlich.
Albert Einstein;Ich bin nicht sicher, mit welchen Waffen der dritte Weltkrieg ausgetragen wird, aber im vierten Weltkrieg werden sie mit Stöcken und Steinen kämpfen.
Albert Einstein;Zwei Dinge sind unendlich, das Universum und die menschliche Dummheit, aber bei dem Universum bin ich mir noch nicht ganz sicher.
Albert Einstein;Wenn man zwei Stunden lang mit einem Mädchen zusammensitzt, meint man, es wäre eine Minute. Sitzt man jedoch eine Minute auf einem heißen Ofen, meint man, es wären zwei Stunden. Das ist Relativität.
Albert Einstein;Falls Gott die Welt geschaffen hat, war seine Hauptsorge sicher nicht, sie so zu machen, dass wir sie verstehen können.
Albert Einstein;Es ist schwieriger, eine vorgefasste Meinung zu zertrümmern als ein Atom.
Albert Einstein;Wer sein eigenes Leben und das seiner Mitmenschen als sinnlos empfindet, der ist nicht nur unglücklich, sondern kaum lebensfähig.
Albert Einstein;Das Schönste, was wir erleben können, ist das Geheimnisvolle.
Albert Einstein;Wenn die meisten sich schon armseliger Kleider und Möbel schämen, wieviel mehr sollten wir uns da erst armseliger Ideen und Weltanschauungen schämen.
Albert Einstein;Mach' dir keine Sorgen wegen deiner Schwierigkeiten mit der Mathematik. Ich kann dir versichern, dass meine noch größer sind.
Albert Einstein;Das, wobei unsere Berechnungen versagen, nennen wir Zufall.
Albert Einstein;Holzhacken ist deshalb so beliebt, weil man bei dieser Tätigkeit den Erfolg sofort sieht.
Albert Einstein;Ich denke niemals an die Zukunft. Sie kommt früh genug.
Albert Einstein;Um ein tadelloses Mitglied einer Schafherde sein zu können, muss man vor allem ein Schaf sein.
Albert Einstein;Am Anfang gehören alle Gedanken der Liebe. Später gehört dann alle Liebe den Gedanken.
Albert Einstein;Probleme kann man niemals mit derselben Denkweise lösen, durch die sie entstanden sind.
Albert Einstein;Mehr als die Vergangenheit interessiert mich die Zukunft, denn in ihr gedenke ich zu leben.
Albert Einstein;Ich habe keine besondere Begabung, sondern bin nur leidenschaftlich neugierig.
Albert Einstein;Phantasie ist wichtiger als Wissen, denn Wissen ist begrenzt.
Albert Einstein;Die Welt wird nicht bedroht von den Menschen, die böse sind, sondern von denen, die das Böse zulassen.
Albert Einstein;Wer sich nicht mehr wundern und in Ehrfurcht verlieren kann, ist seelisch bereits tot.
Albert Einstein;Die besten Dinge im Leben sind nicht die, die man für Geld bekommt.
Albert Einstein;Wenn ich die Folgen geahnt hätte, wäre ich Uhrmacher geworden.
Albert Einstein;Es gibt keine großen Entdeckungen und Fortschritte, solange es noch ein unglückliches Kind auf Erden gibt.
Albert Einstein;Der gesunde Menschenverstand ist nur eine Anhäufung von Vorurteilen, die man bis zum 18. Lebensjahr erworben hat.
Albert Einstein;Wenn einer mit Vergnügen zu einer Musik in Reih und Glied marschieren kann, dann hat er sein großes Gehirn nur aus Irrtum bekommen, da für ihn das Rückenmark schon völlig genügen würde.
Albert Einstein;Manche Männer bemühen sich lebenslang, das Wesen einer Frau zu verstehen. Andere befassen sich mit weniger schwierigen Dingen z. B. der Relativitätstheorie.
Albert Einstein;Wissenschaft ohne Religion ist lahm, Religion ohne Wissenschaft ist blind.
Albert Einstein;Eine neue Art von Denken ist notwendig, wenn die Menschheit weiterleben will.
Albert Einstein;Das Geld zieht nur den Eigennutz an und verführt stets unwiderstehlich zum Missbrauch.
Albert Einstein;Zwei Dinge sind zu unserer Arbeit nötig: Unermüdliche Ausdauer und die Bereitschaft, etwas, in das man viel Zeit und Arbeit gesteckt hat, wieder wegzuwerfen.
Albert Einstein;Persönlichkeiten werden nicht durch schöne Reden geformt, sondern durch Arbeit und eigene Leistung.
Albert Einstein;Seit die Mathematiker über die Relativitätstheorie hergefallen sind, verstehe ich sie selbst nicht mehr.
Albert Einstein;Ich lebe in jener Einsamkeit, die peinvoll ist in der Jugend, aber köstlich in den Jahren der Reife.
Albert Einstein;Gott würfelt nicht.
Albert Einstein;Man hat den Eindruck, dass die moderne Physik auf Annahmen beruht, die irgendwie dem Lächeln einer Katze gleichen, die gar nicht da ist.
Albert Einstein;Wir leben in einer Zeit vollkommener Mittel und verworrener Ziele.
Albert Einstein;Der Fortgang der wissenschaftlichen Entwicklung ist im Endeffekt eine ständige Flucht vor dem Staunen.
Albert Einstein;Zeit ist das, was man an der Uhr abliest.
Albert Einstein;Gleichungen sind wichtiger für mich, weil die Politik für die Gegenwart ist, aber eine Gleichung etwas für die Ewigkeit.
Albert Einstein;Raffiniert ist der Herrgott, aber boshaft ist er nicht.
Albert Einstein;Wozu Socken? Sie schaffen nur Löcher!
Arthur Schopenhauer;Der Wechsel allein ist das Beständige.
Arthur Schopenhauer;Höflichkeit mit Stolz zu vereinigen, ist ein Meisterstück.
Arthur Schopenhauer;Das Schicksal mischt die Karten, und wir spielen.
Arthur Schopenhauer;Wer gegen Tiere grausam ist, kann kein guter Mensch sein.
Arthur Schopenhauer;Moral predigen ist leicht, Moral begründen schwer.
Arthur Schopenhauer;Der Stil ist die Physiognomie des Geistes.
Arthur Schopenhauer;Jede Nation spottet über die andern, und alle haben recht.
Arthur Schopenhauer;Das Leben ist ein Pensum zum Abarbeiten.
Arthur Schopenhauer;Nur wer echte eigene Gedanken hat, hat echten Stil.
Arthur Schopenhauer;Die Freunde nennen sich aufrichtig. Die Feinde sind es.
Arthur Schopenhauer;Überhaupt ist der Pantheismus nur ein höflicher Atheismus.
Arthur Schopenhauer;Was dem Herzen widerstrebt, läßt der Kopf nicht ein.
Arthur Schopenhauer;Hindernisse überwinden ist der Vollgenuß des Daseins.
Arthur Schopenhauer;Jedes überflüssige Wort wirkt seinem Zweck gerade entgegen.
Arthur Schopenhauer;Der Natur liegt bloß unser Dasein, nicht unser Wohlsein am Herzen.
Arthur Schopenhauer;All unser Übel kommt daher, daß wir nicht allein sein können.
Arthur Schopenhauer;Es gibt keine andere Offenbarung als die Gedanken der Weisen.
